종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"004105","태양금속우","KOSPI","운송장비·부품","3560","-25","-0.70","11748000000"
"009410","태영건설","KOSPI","건설","1711","-17","-0.98","509176623458"
"009415","태영건설우","KOSPI","건설","7020","-140","-1.96","4562817480"
"001420","태원물산","KOSPI","운송장비·부품","3100","30","0.98","23560000000"
"055490","테이팩스","KOSPI","화학","15630","-340","-2.13","74549629500"
"078000","텔코웨어","KOSPI","IT 서비스","15960","150","0.95","147471628920"
"214420","토니모리","KOSPI","화학","9320","-170","-1.79","224190726680"
"019180","티에이치엔","KOSPI","전기·전자","8430","190","2.31","151740000000"
"217590","티엠씨","KOSPI","전기·전자","15300","610","4.15","368641642500"
"363280","티와이홀딩스","KOSPI","기타금융","2530","-30","-1.17","127586048040"
"36328K","티와이홀딩스우","KOSPI","기타금융","4205","5","0.12","5226873870"
"091810","티웨이항공","KOSPI","운송·창고","1442","-33","-2.24","484488978470"
"004870","티웨이홀딩스","KOSPI","비금속","461","-7","-1.50","52168370734"
"034230","파라다이스","KOSPI","오락·문화","20500","-250","-1.20","1894313959500"
"005690","파미셀","KOSPI","제약","16350","-640","-3.77","981277361400"
"036580","팜스코","KOSPI","음식료·담배","4000","-80","-1.96","146911772000"
"004720","팜젠사이언스","KOSPI","제약","4085","-105","-2.51","89684140670"
"028670","팬오션","KOSPI","운송·창고","5080","-40","-0.78","2715613120960"
"010820","퍼스텍","KOSPI","금속","5200","205","4.10","253614077600"
"016800","퍼시스","KOSPI","기타제조","41900","-550","-1.30","481850000000"
"001020","페이퍼코리아","KOSPI","종이·목재","596","11","1.88","106078054548"
"090080","평화산업","KOSPI","운송장비·부품","939","-14","-1.47","51553221201"
"010770","평화홀딩스","KOSPI","운송장비·부품","3850","-105","-2.65","56308044100"
"022100","포스코DX","KOSPI","일반서비스","38600","-2550","-6.20","5868540539400"
"058430","포스코스틸리온","KOSPI","금속","43250","-100","-0.23","259500000000"
"047050","포스코인터내셔널","KOSPI","유통","65800","-3200","-4.64","11575719450400"
"003670","포스코퓨처엠","KOSPI","전기·전자","224000","-3500","-1.54","19923953280000"
"017810","풀무원","KOSPI","음식료·담배","13180","-200","-1.49","502428743560"
"103140","풍산","KOSPI","금속","109900","-3100","-2.74","3079868152200"
"005810","풍산홀딩스","KOSPI","기타금융","39800","-300","-0.75","573808221600"
"950210","프레스티지바이오파마","KOSPI","일반서비스","11980","-20","-0.17","719951936900"
"009810","플레이그램","KOSPI","유통","1284","62","5.07","39004710000"
"086790","하나금융지주","KOSPI","기타금융","127600","-2400","-1.85","35514373866400"
"293480","하나제약","KOSPI","제약","11060","160","1.47","196568782760"
"039130","하나투어","KOSPI","일반서비스","50700","-400","-0.78","785339552400"
"352820","하이브","KOSPI","오락·문화","390000","9500","2.50","16785399150000"
"071090","하이스틸","KOSPI","금속","3765","-35","-0.92","76020888315"
"000080","하이트진로","KOSPI","음식료·담배","18120","-200","-1.09","1270821031320"
"000087","하이트진로2우B","KOSPI","음식료·담배","14420","-10","-0.07","16296589960"
"000140","하이트진로홀딩스","KOSPI","기타금융","9660","-20","-0.21","224177349900"
"000145","하이트진로홀딩스우","KOSPI","기타금융","12180","-30","-0.25","5734465800"
"152550","한국ANKOR유전","KOSPI","기타금융","179","-21","-10.50","12533580000"
"036460","한국가스공사","KOSPI","전기·가스","42000","-650","-1.52","3877146000000"
